id,skill,name,image,desc,unlock,duration,kind,output,rare,result,slot,def,hp,atk,effect
mining_mystic_iron,mining,玄铁矿,mining_mystic_iron.png,质地沉重坚韧，可强化兵刃与护具。,10,15.0,gather,mystic_iron,mystic_iron_essence,mystic_iron,,,,,
mining_spirit_jade,mining,灵玉矿,mining_spirit_jade.png,天然蕴藏灵气，是阵法与法器核心。,20,21.0,gather,spirit_jade,flawless_jade,spirit_jade,,,,,
mining_azure_stone,mining,青纹石,mining_azure_stone.png,表面生有青色灵纹，适合阵基。,30,27.0,gather,azure_stone,heavenly_essence,azure_stone,,,,,
mining_refined_red_copper,mining,赤铜精矿,mining_refined_red_copper.png,铜质精纯，可炼制更坚固的法器。,40,33.0,gather,refined_red_copper,heavenly_essence,refined_red_copper,,,,,
mining_cold_iron,mining,寒铁矿,mining_cold_iron.png,矿体寒凉，适合锻造防护器具。,50,40.0,gather,cold_iron,heavenly_essence,cold_iron,,,,,
mining_star_silver,mining,星银矿,mining_star_silver.png,银辉如星，能顺畅传导灵力。,60,47.0,gather,star_silver,heavenly_essence,star_silver,,,,,
mining_violet_crystal,mining,紫晶灵矿,mining_violet_crystal.png,晶体含灵，是高阶法器与阵盘材料。,70,54.0,gather,violet_crystal,heavenly_essence,violet_crystal,,,,,
mining_thunder_gold,mining,雷纹玄金,mining_thunder_gold.png,暗金矿体生有雷纹，可承载雷法。,80,62.0,gather,thunder_gold,heavenly_essence,thunder_gold,,,,,
mining_primordial_marrow,mining,混元仙髓,mining_primordial_marrow.png,混元气息内蕴，是渡劫级仙材。,90,72.0,gather,primordial_marrow,heavenly_essence,primordial_marrow,,,,,
brewing_bamboo_dew,brewing,竹叶清露,brewing_bamboo_dew.png,装入灵酒栏后自动饮用，提高采集速度，持续3分钟。,1,12.0,brew,,,brewing_bamboo_dew,,,,,
brewing_sunset_wine,brewing,赤霞灵酿,brewing_sunset_wine.png,提高攻击，持续3分钟。,10,18.0,brew,,,brewing_sunset_wine,,,,,
brewing_flower_wine,brewing,百花仙醪,brewing_flower_wine.png,提高杂学经验，持续3分钟。,20,25.0,brew,,,brewing_flower_wine,,,,,
brewing_pine_rice_wine,brewing,松风米酒,brewing_pine_rice_wine.png,提高闭关速度，持续3分钟。,30,31.0,brew,,,brewing_pine_rice_wine,,,,,
brewing_green_plum,brewing,青梅玉液,brewing_green_plum.png,加快所有杂学动作，持续3分钟。,40,38.0,brew,,,brewing_green_plum,,,,,
brewing_frost_wine,brewing,寒潭雪酿,brewing_frost_wine.png,提高防御，持续3分钟。,50,45.0,brew,,,brewing_frost_wine,,,,,
brewing_solar_wine,brewing,烈阳烧春,brewing_solar_wine.png,大幅提高攻击，持续3分钟。,60,52.0,brew,,,brewing_solar_wine,,,,,
brewing_moon_osmanthus,brewing,月桂凝香,brewing_moon_osmanthus.png,提高杂学经验，持续3分钟。,70,60.0,brew,,,brewing_moon_osmanthus,,,,,
brewing_dream_wine,brewing,醉仙云梦,brewing_dream_wine.png,显著提高闭关速度，持续3分钟。,80,69.0,brew,,,brewing_dream_wine,,,,,
brewing_ninefold_wine,brewing,九转道酿,brewing_ninefold_wine.png,全面强化修炼与战斗，持续3分钟。,90,80.0,brew,,,brewing_ninefold_wine,,,,,
forging_mystic_bracers,forging,玄铁护腕,forging_mystic_bracers.png,稳固双臂并抵御冲击。,10,26.0,forge,,,forging_mystic_bracers,bracers,4,10,,
forging_cloud_robe,forging,流云法袍,forging_cloud_robe.png,轻柔法袍，兼顾气血与防护。,30,44.0,forge,,,forging_cloud_robe,robe,6,45,,
forging_white_jade_crown,forging,白玉发冠,forging_white_jade_crown.png,清雅玉冠，可稳固灵台。,40,52.0,forge,,,forging_white_jade_crown,head,4,30,,
forging_spirit_amulet,forging,镇灵护符,forging_spirit_amulet.png,镇守心神，提升防御与气血。,50,60.0,forge,,,forging_spirit_amulet,amulet,5,35,,
forging_cosmos_ring,forging,乾坤灵戒,forging_cosmos_ring.png,纳灵于方寸，可强化攻击。,60,69.0,forge,,,forging_cosmos_ring,ring,,25,5,
forging_turtle_armor,forging,玄龟宝甲,forging_turtle_armor.png,甲纹如龟，拥有极强防护。,70,78.0,forge,,,forging_turtle_armor,robe,12,70,,
forging_thunder_sword,forging,紫霄雷剑,forging_thunder_sword.png,雷纹贯刃，攻击力极为强横。,80,88.0,forge,,,forging_thunder_sword,weapon,,,16,
forging_primordial_robe,forging,混元道袍,forging_primordial_robe.png,混元仙材织成，全面强化战力。,90,100.0,forge,,,forging_primordial_robe,robe,16,100,8,
forging_red_copper_sword,forging,赤铜短剑,forging_red_copper_sword.png,赤铜锻成的入门短剑，轻便易用。,1,16.0,forge,,,forging_red_copper_sword,weapon,,,4,
forging_red_copper_bracers,forging,赤铜护腕,forging_red_copper_bracers.png,质朴的赤铜护腕，可稍稍稳固气血。,1,18.0,forge,,,forging_red_copper_bracers,bracers,2,8,,
forging_red_copper_ring,forging,赤铜指环,forging_red_copper_ring.png,刻有浅纹的赤铜指环，可增添少许锋锐之气。,1,17.0,forge,,,forging_red_copper_ring,ring,,10,2,
forging_mystic_iron_sword,forging,玄铁重剑,forging_mystic_iron_sword.png,玄铁铸成的厚重长剑，势沉力稳。,10,24.0,forge,,,forging_mystic_iron_sword,weapon,,,6,
forging_mystic_iron_armor,forging,玄铁护甲,forging_mystic_iron_armor.png,覆身的玄铁护甲，兼顾防护与气血。,10,26.0,forge,,,forging_mystic_iron_armor,robe,5,20,,
forging_mystic_iron_boots,forging,玄铁战靴,forging_mystic_iron_boots.png,沉稳坚固的玄铁战靴，可护住下盘。,10,25.0,forge,,,forging_mystic_iron_boots,boots,3,15,,
forging_spirit_jade_crown,forging,灵玉法冠,forging_spirit_jade_crown.png,温润灵玉雕成的法冠，可护持灵台。,20,32.0,forge,,,forging_spirit_jade_crown,head,3,30,,
forging_spirit_jade_amulet,forging,灵玉心佩,forging_spirit_jade_amulet.png,贴身温养的玉佩，可安定气血与心神。,20,34.0,forge,,,forging_spirit_jade_amulet,amulet,4,25,,
forging_spirit_jade_ring,forging,灵玉戒,forging_spirit_jade_ring.png,玉质清透的灵戒，能引导少许灵力。,20,33.0,forge,,,forging_spirit_jade_ring,ring,,20,4,
forging_azure_stone_sword,forging,青纹石剑,forging_azure_stone_sword.png,剑身天然生有青纹，攻守沉稳。,30,42.0,forge,,,forging_azure_stone_sword,weapon,,,8,
forging_azure_stone_armor,forging,青纹石甲,forging_azure_stone_armor.png,以青纹石片炼成的护甲，防护厚实。,30,44.0,forge,,,forging_azure_stone_armor,robe,7,40,,
forging_azure_stone_bracers,forging,青纹护腕,forging_azure_stone_bracers.png,青纹流转的护腕，兼具锋锐与防护。,30,43.0,forge,,,forging_azure_stone_bracers,bracers,5,20,2,
forging_refined_copper_blade,forging,赤炼长刀,forging_refined_copper_blade.png,精炼赤铜锻成的长刀，刀势炽烈。,40,52.0,forge,,,forging_refined_copper_blade,weapon,,,10,
forging_refined_copper_crown,forging,赤炼法冠,forging_refined_copper_crown.png,霞纹流转的赤铜法冠，可激发攻守之势。,40,54.0,forge,,,forging_refined_copper_crown,head,6,35,3,
forging_refined_copper_ring,forging,赤炼灵戒,forging_refined_copper_ring.png,火纹内敛的灵戒，可强化出手威势。,40,53.0,forge,,,forging_refined_copper_ring,ring,,30,6,
forging_cold_iron_sword,forging,寒魄剑,forging_cold_iron_sword.png,剑锋寒意凝聚，出鞘时冷光如霜。,50,62.0,forge,,,forging_cold_iron_sword,weapon,,,12,
forging_cold_iron_armor,forging,寒铁宝甲,forging_cold_iron_armor.png,寒铁层叠炼成的宝甲，防护尤为坚实。,50,65.0,forge,,,forging_cold_iron_armor,robe,11,70,,
forging_cold_iron_boots,forging,寒铁战靴,forging_cold_iron_boots.png,寒铁护住足胫，可稳固身形与气血。,50,64.0,forge,,,forging_cold_iron_boots,boots,7,50,,
forging_star_silver_sword,forging,星辉飞剑,forging_star_silver_sword.png,星银铸成的轻灵飞剑，锋芒清亮。,60,72.0,forge,,,forging_star_silver_sword,weapon,,,14,
forging_star_silver_crown,forging,星银发冠,forging_star_silver_crown.png,银辉聚于冠心，可兼顾攻守与气血。,60,75.0,forge,,,forging_star_silver_crown,head,7,45,5,
forging_star_silver_amulet,forging,星银护符,forging_star_silver_amulet.png,星纹护符可疏导灵力，稳固护体真元。,60,74.0,forge,,,forging_star_silver_amulet,amulet,8,65,,
forging_violet_crystal_sword,forging,紫晶法剑,forging_violet_crystal_sword.png,紫晶灵光沿剑脊流转，锋锐非凡。,70,82.0,forge,,,forging_violet_crystal_sword,weapon,,,17,
forging_violet_crystal_bracers,forging,紫晶护腕,forging_violet_crystal_bracers.png,晶纹护腕兼具灵力增幅与坚固防护。,70,85.0,forge,,,forging_violet_crystal_bracers,bracers,10,50,5,
forging_violet_crystal_ring,forging,紫晶灵戒,forging_violet_crystal_ring.png,凝聚紫晶灵力的宝戒，可显著强化攻击。,70,84.0,forge,,,forging_violet_crystal_ring,ring,,55,9,
forging_thunder_gold_sword,forging,雷罚剑,forging_thunder_gold_sword.png,雷纹玄金铸成的重剑，蕴藏雷霆锋芒。,80,92.0,forge,,,forging_thunder_gold_sword,weapon,,,21,
forging_thunder_gold_armor,forging,雷纹战甲,forging_thunder_gold_armor.png,雷纹遍布甲身，攻守俱强。,80,96.0,forge,,,forging_thunder_gold_armor,robe,15,100,5,
forging_thunder_gold_boots,forging,逐雷靴,forging_thunder_gold_boots.png,雷纹贯穿的战靴，可强化攻势并护住气血。,80,94.0,forge,,,forging_thunder_gold_boots,boots,9,70,7,
forging_primordial_sword,forging,混元仙剑,forging_primordial_sword.png,混元仙髓炼成的仙剑，锋芒圆融而强横。,90,104.0,forge,,,forging_primordial_sword,weapon,,,26,
forging_primordial_armor,forging,混元仙甲,forging_primordial_armor.png,混元之气流转全身，兼具极高攻防与气血。,90,108.0,forge,,,forging_primordial_armor,robe,20,140,8,
forging_primordial_ring,forging,混元道戒,forging_primordial_ring.png,阴阳混元凝于一戒，攻守相生。,90,106.0,forge,,,forging_primordial_ring,ring,10,90,12,
alchemy_heal_pill,alchemy,回春丹,alchemy_heal_pill.png,装入丹药栏后，气血低于三成半时自动服用。,1,10.0,alchemy,,,alchemy_heal_pill,,,,,heal
alchemy_qi_pill,alchemy,聚气丹,alchemy_qi_pill.png,炼成后保存，可供阵法与修炼使用。,10,17.0,alchemy,,,qi_pill,,,,,qi_pill
alchemy_origin_pill,alchemy,培元丹,alchemy_origin_pill.png,炼化后立即获得500点修为经验。,20,22.0,alchemy,,,alchemy_origin_pill,,,,,xp_500
alchemy_blood_pill,alchemy,壮血丹,alchemy_blood_pill.png,炼化后永久提高少量气血，本世最多由丹药提高600点。,30,28.0,alchemy,,,alchemy_blood_pill,,,,,hp
alchemy_body_pill,alchemy,淬体丹,alchemy_body_pill.png,炼化后永久提高少量防御，本世最多由丹药提高100点。,40,35.0,alchemy,,,alchemy_body_pill,,,,,def
alchemy_metal_pill,alchemy,锐金丹,alchemy_metal_pill.png,炼化后永久提高少量攻击，本世最多由丹药提高120点。,50,43.0,alchemy,,,alchemy_metal_pill,,,,,atk
alchemy_spirit_pill,alchemy,清神丹,alchemy_spirit_pill.png,服用后立即获得大量修为经验。,60,52.0,alchemy,,,alchemy_spirit_pill,,,,,qi
alchemy_longevity_pill,alchemy,延寿丹,alchemy_longevity_pill.png,服用后延长一年寿元进程。,70,62.0,alchemy,,,alchemy_longevity_pill,,,,,lifespan
alchemy_insight_pill,alchemy,悟道丹,alchemy_insight_pill.png,服用后立即获得10000点修为经验。,80,74.0,alchemy,,,alchemy_insight_pill,,,,,xp_10000
alchemy_ninefold_pill,alchemy,九转金丹,alchemy_ninefold_pill.png,炼化后永久提高气血、攻击与防御，受本世丹药属性上限限制。,90,88.0,alchemy,,,alchemy_ninefold_pill,,,,,all
talisman_fire,talismans,炎火符,talisman_fire.png,装入符箓栏后，战斗开始时自动灼伤敌人。,1,10.0,talisman,,,talisman_fire,,,,,
talisman_guard,talismans,护身符,talisman_guard.png,受到重击时自动化去大半伤害。,10,15.0,talisman,,,talisman_guard,,,,,
talisman_swiftness,talismans,神行符,talisman_swiftness.png,战斗开始时提高十场攻击速度。,20,21.0,talisman,,,talisman_swiftness,,,,,
talisman_dash,talismans,疾行符,talisman_dash.png,战斗开始时提高二十场攻击速度。,30,27.0,talisman,,,talisman_dash,,,,,
talisman_heal,talismans,回春符,talisman_heal.png,气血过半时自动恢复部分气血。,40,34.0,talisman,,,talisman_heal,,,,,
talisman_golden_armor,talismans,金甲符,talisman_golden_armor.png,受到攻击时自动抵消部分伤害。,50,41.0,talisman,,,talisman_golden_armor,,,,,
talisman_blaze,talismans,烈火符,talisman_blaze.png,战斗开始时造成强烈火属伤害。,60,49.0,talisman,,,talisman_blaze,,,,,
talisman_demonbane,talismans,镇妖符,talisman_demonbane.png,战斗开始时镇压来敌并削减气血。,70,58.0,talisman,,,talisman_demonbane,,,,,
talisman_thunder,talismans,天雷符,talisman_thunder.png,战斗开始时召来天雷重创敌人。,80,68.0,talisman,,,talisman_thunder,,,,,
talisman_rebirth,talismans,替劫符,talisman_rebirth.png,受到致命伤害时消耗一张免除死亡。,90,80.0,talisman,,,talisman_rebirth,,,,,
formation_spirit_gathering,formations,聚灵阵,formation_spirit_gathering.png,汇聚四周灵气，辅助闭关修行。,1,30.0,formation,,,formation_spirit_gathering,,,,,
formation_golden_light,formations,金光阵,formation_golden_light.png,凝成护体金光，强化气血与防御。,10,38.0,formation,,,formation_golden_light,,,,,
formation_mist,formations,迷踪阵,formation_mist.png,云雾迷踪，加快杂学并闪避攻击。,20,47.0,formation,,,formation_mist,,,,,
formation_minor_spirit_gathering,formations,小周天阵,formation_minor_spirit_gathering.png,以小周天循环温养灵气。,30,56.0,formation,,,formation_minor_spirit_gathering,,,,,
formation_vitality,formations,守元阵,formation_vitality.png,守持本元，大幅提高气血上限。,40,66.0,formation,,,formation_vitality,,,,,
formation_sharp,formations,锐锋阵,formation_sharp.png,锋气周流，提高角色攻击。,50,77.0,formation,,,formation_sharp,,,,,
formation_armor,formations,玄甲阵,formation_armor.png,玄甲护身，提高角色防御。,60,88.0,formation,,,formation_armor,,,,,
formation_five_elements,formations,五行阵,formation_five_elements.png,五行轮转，降低受到的伤害。,70,100.0,formation,,,formation_five_elements,,,,,
formation_binding,formations,困仙阵,formation_binding.png,阵环束敌，延缓敌人的攻击。,80,113.0,formation,,,formation_binding,,,,,
formation_stars,formations,周天星斗阵,formation_stars.png,星斗周天，全面强化修炼与战斗。,90,128.0,formation,,,formation_stars,,,,,
